cve,zdi_date,edb_date,date_diff
cve-2016-1749,2016-03-22,2016-03-23,1
cve-2012-2019,2012-07-12,2012-10-29,109
cve-2013-6221,2014-06-11,2014-06-27,16
cve-2011-1260,2011-06-14,2011-06-17,3
cve-2011-2653,2011-12-07,2012-08-15,252
cve-2011-1220,2011-05-31,2011-06-12,12
cve-2011-1206,2011-04-18,2011-04-19,1
cve-2010-3600,2011-01-18,2012-11-15,667
cve-2010-4452,2011-02-15,2011-03-16,29
cve-2009-0410,2009-02-02,2009-02-04,2
cve-2010-2777,2010-07-16,2010-07-16,0
cve-2012-0202,2012-06-27,2013-01-08,195
cve-2013-4810,2013-09-11,2013-10-04,23
cve-2015-2284,2015-03-13,2015-04-08,26
cve-2014-0569,2014-10-14,2015-04-13,181
cve-2014-5005,2015-01-07,2014-09-09,-120
cve-2014-3805,2014-06-11,2014-06-18,7
cve-2011-0920,2011-03-22,2011-11-30,253
cve-2009-2753,2010-03-01,2010-04-08,38
cve-2010-0840,2010-04-05,2010-12-15,254
cve-2010-4228,2011-03-18,2011-03-21,3
cve-2010-2553,2010-08-10,2010-09-26,47
cve-2011-4786,2012-01-12,2012-01-18,6
cve-2013-2370,2013-07-26,2013-08-29,34
cve-2012-0708,2012-06-28,2012-07-05,7
cve-2013-4812,2013-09-11,2013-09-17,6
cve-2009-2685,2009-11-05,2009-11-16,11
cve-2009-3068,2009-09-23,2009-09-03,-20
cve-2012-0002,2012-03-15,2012-03-16,1
cve-2009-1977,2009-08-18,2009-09-14,27
cve-2013-4837,2013-11-24,2013-12-11,17
cve-2009-1376,2009-06-08,2009-09-09,93
cve-2012-1876,2012-06-12,2012-08-02,51
cve-2010-1555,2010-05-11,2010-07-02,52
cve-2010-1214,2010-07-20,2010-07-20,0
cve-2010-3747,2010-10-15,2011-03-17,153
cve-2010-1554,2010-05-11,2010-07-02,52
cve-2011-0065,2011-05-10,2011-08-05,87
cve-2011-2950,2011-08-16,2011-09-17,32
cve-2010-4323,2011-02-17,2011-02-18,1
cve-2011-0922,2011-02-07,2011-05-29,111
cve-2011-0257,2011-08-08,2011-09-03,26
cve-2011-4166,2011-12-22,2013-07-22,578
cve-2012-0663,2012-06-21,2012-06-28,7
cve-2011-0266,2011-01-10,2011-03-23,72
cve-2011-4789,2012-01-12,2012-01-27,15
cve-2011-1653,2011-04-13,2011-10-02,172
cve-2012-5201,2013-03-22,2013-03-26,4
cve-2013-1309,2013-05-29,2016-12-09,1290
cve-2013-3184,2013-08-13,2013-09-04,22
cve-2013-3143,2013-07-26,2016-12-15,1238
cve-2010-0049,2010-08-11,2010-03-11,-153
cve-2010-0050,2010-03-16,2010-04-27,42
cve-2015-2455,2015-08-11,2015-08-21,10
cve-2010-0838,2010-04-05,2010-09-20,168
cve-2010-1185,2010-03-16,2010-03-26,10
cve-2010-1818,2010-08-31,2010-08-30,-1
cve-2010-1964,2010-06-16,2010-07-07,21
cve-2015-2097,2015-02-27,2015-04-02,34
cve-2010-4227,2011-02-18,2011-02-24,6
cve-2013-0753,2013-02-01,2013-08-29,209
cve-2013-1493,2013-06-27,2013-03-29,-90
cve-2013-2465,2013-06-27,2013-08-19,53
cve-2013-4822,2013-10-16,2013-10-22,6
cve-2013-6194,2014-01-10,2014-01-24,14
cve-2015-0040,2015-02-10,2016-11-14,643
cve-2015-2342,2015-10-02,2015-02-17,-227
cve-2015-1676,2015-05-12,2015-05-18,6
cve-2016-0854,2016-02-05,2016-04-26,81
cve-2011-0917,2011-02-07,2011-02-18,11
cve-2011-0978,2011-02-07,2011-04-29,81
cve-2015-6168,2015-12-08,2016-12-06,364
cve-2011-1999,2011-10-15,2011-10-11,-4
cve-2012-2176,2012-08-03,2012-12-31,150
cve-2010-0620,2010-02-23,2011-04-27,428
cve-2010-1199,2010-06-23,2010-06-22,-1
cve-2010-3000,2010-08-26,2010-09-13,18
cve-2010-3964,2010-12-14,2012-07-31,595
cve-2013-1306,2013-05-29,2016-12-09,1290
cve-2013-1559,2013-05-29,2013-06-05,7
cve-2012-3811,2012-06-28,2012-10-10,104
cve-2011-0340,2012-08-22,2012-12-20,120
cve-2011-0923,2011-02-07,2011-05-28,110
cve-2011-2404,2011-08-16,2011-08-20,4
cve-2011-3544,2011-10-26,2011-11-30,35
cve-2009-3844,2009-12-08,2009-12-26,18
cve-2010-0519,2010-04-02,2010-09-02,153
cve-2013-1017,2013-05-30,2013-07-22,53
cve-2013-1081,2013-05-29,2013-06-07,9
cve-2013-3120,2013-06-27,2016-11-28,1250
cve-2013-4811,2013-09-11,2013-09-17,6
cve-2012-0198,2012-03-01,2012-04-10,40
cve-2012-4969,2012-12-21,2012-10-10,-72
cve-2011-0027,2011-01-11,2011-01-12,1
cve-2011-0073,2011-05-09,2011-06-20,42
cve-2011-1996,2011-10-15,2013-01-10,453
cve-2011-2140,2011-08-23,2012-01-31,161
cve-2011-3478,2012-01-25,2012-06-27,154
cve-2011-3658,2012-04-09,2012-05-09,30
cve-2011-3659,2012-06-28,2012-05-13,-46
cve-2011-4051,2011-11-16,2012-10-10,329
cve-2010-0027,2010-02-09,2010-01-21,-19
cve-2010-0094,2010-04-05,2010-09-27,175
cve-2010-1900,2010-08-11,2010-09-11,31
cve-2010-1960,2010-06-08,2011-03-23,288
cve-2010-3007,2010-09-13,2012-12-11,820
cve-2010-3563,2010-10-12,2011-01-22,102
cve-2010-4321,2010-12-23,2011-01-19,27
cve-2010-4328,2011-02-16,2011-02-18,2
cve-2015-6086,2015-11-10,2016-04-14,156
cve-2010-0904,2010-07-13,2011-08-19,402
cve-2014-1649,2014-05-13,2014-05-26,13
cve-2014-0282,2014-06-11,2014-06-24,13
cve-2012-0297,2012-06-08,2012-05-26,-13
cve-2012-5946,2013-05-29,2013-05-29,0
cve-2011-2657,2011-11-07,2012-07-11,247
cve-2016-7202,2016-11-08,2016-11-18,10
cve-2014-1785,2014-06-11,2016-12-20,923
cve-2015-1497,2015-02-10,2015-02-24,14
cve-2016-0173,2016-05-10,2016-06-15,36
cve-2009-3867,2009-11-04,2009-10-29,-6
cve-2012-1182,2012-04-18,2012-10-10,175
cve-2010-3552,2010-10-12,2010-10-13,1
cve-2014-2849,2014-04-08,2014-04-10,2
cve-2015-7652,2015-11-10,2015-12-17,37
cve-2013-3763,2013-08-13,2013-08-26,13
cve-2011-0267,2011-01-10,2011-03-24,73
cve-2013-0928,2013-02-14,2014-09-24,587
cve-2014-0750,2014-02-13,2014-02-28,15
cve-2014-1510,2014-04-11,2014-08-28,139
cve-2012-0439,2013-02-01,2013-02-12,11
cve-2009-1430,2009-04-28,2010-05-13,380
cve-2013-4835,2013-11-24,2013-12-24,30
cve-2014-2624,2014-09-16,2014-10-02,16
cve-2014-0307,2014-04-03,2014-03-22,-12
cve-2014-3914,2014-06-02,2014-06-18,16
cve-2013-5447,2013-12-15,2014-01-07,23
cve-2013-2347,2014-01-10,2014-03-10,59
cve-2010-0248,2010-01-21,2012-03-22,791
cve-2011-3167,2012-01-05,2012-01-20,15
cve-2014-3789,2014-05-19,2014-06-25,37
cve-2009-3869,2009-11-04,2010-09-20,320
cve-2010-1552,2010-05-11,2011-03-23,316
cve-2009-0927,2009-03-24,2009-05-04,41
cve-2013-5486,2013-11-24,2013-12-03,9
cve-2009-3129,2009-11-10,2010-09-25,319
cve-2010-4417,2011-01-18,2015-12-03,1780
cve-2013-4800,2013-07-26,2013-10-08,74
cve-2014-6037,2015-05-13,2014-09-15,-240
cve-2013-3205,2013-09-11,2013-09-23,12
cve-2011-0276,2011-01-31,2011-03-15,43
cve-2009-1350,2009-04-06,2010-11-24,597
cve-2014-3913,2014-06-02,2014-06-19,17
cve-2014-3804,2014-06-11,2014-06-24,13
cve-2016-0491,2016-01-25,2016-04-13,79
cve-2016-0185,2016-05-10,2016-05-12,2
cve-2016-1803,2016-05-19,2016-06-10,22
cve-2016-3386,2016-10-11,2016-10-20,9
cve-2014-6034,2015-04-15,2014-10-02,-195
cve-2016-3376,2016-09-16,2016-10-20,34
cve-2009-3849,2009-12-09,2010-11-11,337
cve-2009-0075,2009-02-10,2009-02-18,8
cve-2013-3520,2013-06-27,2013-07-23,26
cve-2016-3247,2016-09-16,2016-11-21,66
cve-2009-1429,2009-04-28,2009-04-28,0
cve-2013-0019,2013-02-14,2016-12-06,1391
cve-2013-1300,2013-07-26,2014-05-06,284
cve-2012-0754,2012-03-22,2012-03-08,-14
cve-2014-2364,2014-07-18,2014-09-24,68
cve-2012-2174,2012-08-22,2012-12-25,125
cve-2016-0063,2016-02-10,2016-11-28,292
cve-2012-2020,2012-07-12,2012-10-29,109
cve-2012-2175,2012-08-03,2012-12-31,150
cve-2013-4798,2013-08-13,2013-09-04,22
cve-2010-0520,2010-04-02,2010-09-18,169
cve-2010-0842,2010-04-05,2012-02-16,682
cve-2010-1119,2010-06-08,2011-03-14,279
cve-2011-0364,2011-02-16,2011-04-12,55
cve-2012-3282,2013-02-11,2013-08-13,183
cve-2010-2752,2010-07-20,2010-09-25,67
cve-2009-1136,2009-08-11,2009-07-16,-26
cve-2011-0105,2011-04-12,2011-11-05,207
cve-2011-0807,2011-04-19,2011-08-05,108
cve-2014-4138,2014-10-14,2016-12-22,800
cve-2013-1080,2013-03-22,2013-04-08,17
cve-2015-2482,2015-10-13,2016-11-21,405
cve-2014-2424,2014-04-21,2014-07-07,77
cve-2010-0805,2010-04-02,2010-04-30,28
cve-2015-0081,2015-03-10,2015-03-11,1
cve-2014-8361,2015-04-24,2015-06-01,38
cve-2015-1830,2015-08-31,2015-08-17,-14
cve-2013-2367,2013-08-13,2013-09-10,28
cve-2013-1488,2013-05-10,2013-06-11,32
cve-2013-0090,2013-05-29,2016-12-16,1297
cve-2013-2827,2014-02-05,2014-02-11,6
cve-2013-3111,2013-06-27,2016-12-12,1264
cve-2013-3346,2013-09-11,2013-12-17,97
cve-2012-0299,2012-06-08,2012-06-10,2
cve-2011-0045,2011-02-08,2011-03-01,21
cve-2010-0033,2010-02-09,2010-09-25,228
cve-2009-1943,2009-06-01,2010-06-22,386
cve-2010-1553,2010-05-11,2010-07-02,52
cve-2010-2703,2010-07-21,2010-09-06,47
cve-2010-1961,2010-06-08,2011-03-23,288
cve-2013-2333,2013-06-11,2013-10-15,126
